Running with CUDA on GPU 0	
Epoch 1.00 / 25, i = 1 / 7575, loss = 4.254210	
Epoch 1.01 / 25, i = 2 / 7575, loss = 3.779433	
Epoch 1.01 / 25, i = 3 / 7575, loss = 3.471058	
Epoch 1.01 / 25, i = 4 / 7575, loss = 3.232919	
Epoch 1.02 / 25, i = 5 / 7575, loss = 3.043157	
Epoch 1.02 / 25, i = 6 / 7575, loss = 2.869254	
Epoch 1.02 / 25, i = 7 / 7575, loss = 2.716093	
Epoch 1.03 / 25, i = 8 / 7575, loss = 2.589118	
Epoch 1.03 / 25, i = 9 / 7575, loss = 2.461167	
Epoch 1.03 / 25, i = 10 / 7575, loss = 2.349854	
Epoch 1.04 / 25, i = 11 / 7575, loss = 2.251309	
Epoch 1.04 / 25, i = 12 / 7575, loss = 2.150443	
Epoch 1.04 / 25, i = 13 / 7575, loss = 2.056854	
Epoch 1.05 / 25, i = 14 / 7575, loss = 1.972262	
Epoch 1.05 / 25, i = 15 / 7575, loss = 1.885694	
Epoch 1.05 / 25, i = 16 / 7575, loss = 1.795928	
Epoch 1.06 / 25, i = 17 / 7575, loss = 1.713776	
Epoch 1.06 / 25, i = 18 / 7575, loss = 1.639807	
Epoch 1.06 / 25, i = 19 / 7575, loss = 1.562403	
Epoch 1.07 / 25, i = 20 / 7575, loss = 1.493846	
Epoch 1.07 / 25, i = 21 / 7575, loss = 1.438546	
Epoch 1.07 / 25, i = 22 / 7575, loss = 1.378871	
Epoch 1.08 / 25, i = 23 / 7575, loss = 1.319975	
Epoch 1.08 / 25, i = 24 / 7575, loss = 1.281212	
Epoch 1.08 / 25, i = 25 / 7575, loss = 1.231690	
Epoch 1.09 / 25, i = 26 / 7575, loss = 1.186355	
Epoch 1.09 / 25, i = 27 / 7575, loss = 1.156344	
Epoch 1.09 / 25, i = 28 / 7575, loss = 1.120393	
Epoch 1.10 / 25, i = 29 / 7575, loss = 1.078591	
Epoch 1.10 / 25, i = 30 / 7575, loss = 1.048250	
Epoch 1.10 / 25, i = 31 / 7575, loss = 1.028697	
Epoch 1.11 / 25, i = 32 / 7575, loss = 1.001727	
Epoch 1.11 / 25, i = 33 / 7575, loss = 0.985946	
Epoch 1.11 / 25, i = 34 / 7575, loss = 0.976297	
Epoch 1.12 / 25, i = 35 / 7575, loss = 0.951668	
Epoch 1.12 / 25, i = 36 / 7575, loss = 0.949243	
Epoch 1.12 / 25, i = 37 / 7575, loss = 0.938506	
Epoch 1.13 / 25, i = 38 / 7575, loss = 0.923550	
Epoch 1.13 / 25, i = 39 / 7575, loss = 0.935475	
Epoch 1.13 / 25, i = 40 / 7575, loss = 0.921937	
Epoch 1.14 / 25, i = 41 / 7575, loss = 0.901669	
Epoch 1.14 / 25, i = 42 / 7575, loss = 0.904981	
Epoch 1.14 / 25, i = 43 / 7575, loss = 0.895063	
Epoch 1.15 / 25, i = 44 / 7575, loss = 0.870211	
Epoch 1.15 / 25, i = 45 / 7575, loss = 0.877454	
Epoch 1.15 / 25, i = 46 / 7575, loss = 0.872682	
Epoch 1.16 / 25, i = 47 / 7575, loss = 0.858421	
Epoch 1.16 / 25, i = 48 / 7575, loss = 0.854567	
Epoch 1.16 / 25, i = 49 / 7575, loss = 0.849273	
Epoch 1.17 / 25, i = 50 / 7575, loss = 0.841498	
Epoch 1.17 / 25, i = 51 / 7575, loss = 0.839801	
Epoch 1.17 / 25, i = 52 / 7575, loss = 0.825118	
Epoch 1.17 / 25, i = 53 / 7575, loss = 0.821476	
Epoch 1.18 / 25, i = 54 / 7575, loss = 0.807037	
Epoch 1.18 / 25, i = 55 / 7575, loss = 0.793563	
Epoch 1.18 / 25, i = 56 / 7575, loss = 0.775922	
Epoch 1.19 / 25, i = 57 / 7575, loss = 0.769197	
Epoch 1.19 / 25, i = 58 / 7575, loss = 0.761306	
Epoch 1.19 / 25, i = 59 / 7575, loss = 0.756507	
Epoch 1.20 / 25, i = 60 / 7575, loss = 0.746525	
Epoch 1.20 / 25, i = 61 / 7575, loss = 0.741937	
Epoch 1.20 / 25, i = 62 / 7575, loss = 0.734621	
Epoch 1.21 / 25, i = 63 / 7575, loss = 0.726105	
Epoch 1.21 / 25, i = 64 / 7575, loss = 0.722159	
Epoch 1.21 / 25, i = 65 / 7575, loss = 0.716589	
Epoch 1.22 / 25, i = 66 / 7575, loss = 0.709098	
Epoch 1.22 / 25, i = 67 / 7575, loss = 0.695777	
Epoch 1.22 / 25, i = 68 / 7575, loss = 0.696635	
Epoch 1.23 / 25, i = 69 / 7575, loss = 0.685801	
Epoch 1.23 / 25, i = 70 / 7575, loss = 0.672299	
Epoch 1.23 / 25, i = 71 / 7575, loss = 0.667669	
Epoch 1.24 / 25, i = 72 / 7575, loss = 0.671803	
Epoch 1.24 / 25, i = 73 / 7575, loss = 0.655001	
Epoch 1.24 / 25, i = 74 / 7575, loss = 0.652149	
Epoch 1.25 / 25, i = 75 / 7575, loss = 0.651236	
Epoch 1.25 / 25, i = 76 / 7575, loss = 0.640170	
Epoch 1.25 / 25, i = 77 / 7575, loss = 0.638965	
Epoch 1.26 / 25, i = 78 / 7575, loss = 0.655305	
