Running with CUDA on GPU 0	
Epoch 1.00 / 25, i = 1 / 7575, loss = 4.076222	
Epoch 1.01 / 25, i = 2 / 7575, loss = 3.544424	
Epoch 1.01 / 25, i = 3 / 7575, loss = 3.210134	
Epoch 1.01 / 25, i = 4 / 7575, loss = 2.938923	
Epoch 1.02 / 25, i = 5 / 7575, loss = 2.733685	
Epoch 1.02 / 25, i = 6 / 7575, loss = 2.570261	
Epoch 1.02 / 25, i = 7 / 7575, loss = 2.411074	
Epoch 1.03 / 25, i = 8 / 7575, loss = 2.308858	
Epoch 1.03 / 25, i = 9 / 7575, loss = 2.201774	
Epoch 1.03 / 25, i = 10 / 7575, loss = 2.092006	
Epoch 1.04 / 25, i = 11 / 7575, loss = 2.010009	
Epoch 1.04 / 25, i = 12 / 7575, loss = 1.926311	
Epoch 1.04 / 25, i = 13 / 7575, loss = 1.829587	
Epoch 1.05 / 25, i = 14 / 7575, loss = 1.758793	
Epoch 1.05 / 25, i = 15 / 7575, loss = 1.682131	
Epoch 1.05 / 25, i = 16 / 7575, loss = 1.595199	
Epoch 1.06 / 25, i = 17 / 7575, loss = 1.528093	
Epoch 1.06 / 25, i = 18 / 7575, loss = 1.464146	
Epoch 1.06 / 25, i = 19 / 7575, loss = 1.386582	
Epoch 1.07 / 25, i = 20 / 7575, loss = 1.327299	
Epoch 1.07 / 25, i = 21 / 7575, loss = 1.275091	
Epoch 1.07 / 25, i = 22 / 7575, loss = 1.215201	
Epoch 1.08 / 25, i = 23 / 7575, loss = 1.163763	
Epoch 1.08 / 25, i = 24 / 7575, loss = 1.131139	
Epoch 1.08 / 25, i = 25 / 7575, loss = 1.087952	
Epoch 1.09 / 25, i = 26 / 7575, loss = 1.053771	
Epoch 1.09 / 25, i = 27 / 7575, loss = 1.029310	
Epoch 1.09 / 25, i = 28 / 7575, loss = 0.999014	
Epoch 1.10 / 25, i = 29 / 7575, loss = 0.962938	
Epoch 1.10 / 25, i = 30 / 7575, loss = 0.941065	
Epoch 1.10 / 25, i = 31 / 7575, loss = 0.924087	
Epoch 1.11 / 25, i = 32 / 7575, loss = 0.895870	
Epoch 1.11 / 25, i = 33 / 7575, loss = 0.882361	
Epoch 1.11 / 25, i = 34 / 7575, loss = 0.864357	
Epoch 1.12 / 25, i = 35 / 7575, loss = 0.835730	
Epoch 1.12 / 25, i = 36 / 7575, loss = 0.825019	
Epoch 1.12 / 25, i = 37 / 7575, loss = 0.808562	
Epoch 1.13 / 25, i = 38 / 7575, loss = 0.808707	
Epoch 1.13 / 25, i = 39 / 7575, loss = 0.895052	
Epoch 1.13 / 25, i = 40 / 7575, loss = 0.803867	
Epoch 1.14 / 25, i = 41 / 7575, loss = 0.797107	
Epoch 1.14 / 25, i = 42 / 7575, loss = 0.782364	
Epoch 1.14 / 25, i = 43 / 7575, loss = 0.775292	
Epoch 1.15 / 25, i = 44 / 7575, loss = 0.754432	
Epoch 1.15 / 25, i = 45 / 7575, loss = 0.758780	
Epoch 1.15 / 25, i = 46 / 7575, loss = 0.742169	
Epoch 1.16 / 25, i = 47 / 7575, loss = 0.713545	
Epoch 1.16 / 25, i = 48 / 7575, loss = 0.702055	
Epoch 1.16 / 25, i = 49 / 7575, loss = 0.683860	
Epoch 1.17 / 25, i = 50 / 7575, loss = 0.682408	
Epoch 1.17 / 25, i = 51 / 7575, loss = 0.677557	
